POWER9- arquivo_teste,cpu-cycles,instructions,cache-references,cache-misses,branches,branch-misses,time elapsed
teste0,"89,830,788,394","5,456,211,988","17,385,943,566","374,171,776,624","1,647,506,928,111","2,300,650,907,660",156.934616771
teste1,"89,469,520,580","5,396,404,612","17,789,696,001","373,789,448,487","1,643,104,611,427","2,297,546,136,284",144.549577025
teste2,"88,174,227,716","5,528,908,258","17,405,738,468","372,258,576,883","1,645,291,005,021","2,288,217,197,939",142.158850736
teste3,"89,748,712,151","5,453,923,543","17,777,687,131","373,916,495,195","1,635,705,017,729","2,299,161,190,305",144.491929407
teste4,"89,101,161,458","5,404,373,282","17,115,007,714","373,498,421,999","1,640,359,171,374","2,296,743,340,087",144.702708957
teste5,"89,303,347,151","5,425,347,941","17,271,794,010","373,701,605,161","1,644,180,738,110","2,297,181,758,810",144.428359722
teste6,"89,566,863,119","5,444,039,518","17,312,683,928","373,652,578,083","1,638,192,472,036","2,297,602,106,412",145.001503349
teste7,"89,014,387,632","5,422,884,132","17,626,072,370","373,938,246,668","1,640,608,624,279","2,296,908,639,051",144.683995115
teste8,"89,520,855,900","5,436,727,317","17,467,155,077","373,743,252,235","1,639,973,645,577","2,296,653,749,682",144.011613521
teste9,"89,574,557,121","5,455,314,666","17,359,825,522","373,618,664,956","1,641,091,752,593","2,295,769,857,688",144.424779990
